domain	type	auto_value	value
mosrif.ru	no cookie dialog	True	True
webcontadores.com	no cookie dialog	True	True
venteclife.com	DP1	True	True
venteclife.com	DP2	False	False
venteclife.com	DP3	False	False
venteclife.com	DP4	False	False
venteclife.com	DP5	False	False
venteclife.com	DP6	False	False
venteclife.com	DP7	False	False
venteclife.com	DP8	False	False
venteclife.com	time to reject cookies manually	2.47878429999946	2.47878429999946
venteclife.com	number of clicks to reject cookies	0	0
venteclife.com	DP10	unconfirmed	True
venteclife.com	DP12	unconfirmed	False
venteclife.com	DP13	unconfirmed	False
venteclife.com	DP14	unconfirmed	False
venteclife.com	DP15	unconfirmed	False
amazonseoconsultant.com	DP1	True	True
amazonseoconsultant.com	DP2	False	False
amazonseoconsultant.com	DP3	False	False
amazonseoconsultant.com	DP4	False	False
amazonseoconsultant.com	DP5	False	False
amazonseoconsultant.com	DP6	False	False
amazonseoconsultant.com	DP7	False	False
amazonseoconsultant.com	DP8	False	False
amazonseoconsultant.com	time to reject cookies manually	21.7977925000014	21.7977925000014
amazonseoconsultant.com	number of clicks to reject cookies	2	2
amazonseoconsultant.com	DP10	unconfirmed	True
amazonseoconsultant.com	DP12	unconfirmed	False
amazonseoconsultant.com	DP13	unconfirmed	False
amazonseoconsultant.com	DP14	unconfirmed	False
amazonseoconsultant.com	DP15	unconfirmed	False
vietq.vn	no cookie dialog	True	True
hatchresources.com	no cookie dialog	True	True
ezecom.com.kh	DP1	False	False
ezecom.com.kh	DP2	False	False
ezecom.com.kh	DP3	False	False
ezecom.com.kh	DP4	False	False
ezecom.com.kh	DP5	False	False
ezecom.com.kh	DP6	False	False
ezecom.com.kh	DP7	False	False
ezecom.com.kh	DP8	False	False
ezecom.com.kh	time to reject cookies manually	4.20602919999874	4.20602919999874
ezecom.com.kh	number of clicks to reject cookies	1	1
ezecom.com.kh	DP10	unconfirmed	False
ezecom.com.kh	DP12	unconfirmed	False
ezecom.com.kh	DP13	unconfirmed	False
ezecom.com.kh	DP14	unconfirmed	False
ezecom.com.kh	DP15	unconfirmed	False
colabearnsk.ru	no cookie dialog	True	True
kissme.com.tw	no cookie dialog	True	True
roaddistance.in	no cookie dialog	True	True
ag.gov	no cookie dialog	True	True
albumrain.ru	no cookie dialog	True	True
weed420.info	no cookie dialog	True	True
equso.com	no cookie dialog	True	True
onlinegamesracing.com	DP1	True	True
onlinegamesracing.com	DP2	False	False
onlinegamesracing.com	DP3	False	False
onlinegamesracing.com	DP4	False	False
onlinegamesracing.com	DP5	False	False
onlinegamesracing.com	DP6	False	False
onlinegamesracing.com	DP7	False	False
onlinegamesracing.com	DP8	False	False
onlinegamesracing.com	time to reject cookies manually	2.96214200000031	2.96214200000031
onlinegamesracing.com	number of clicks to reject cookies	0	0
onlinegamesracing.com	DP10	unconfirmed	True
onlinegamesracing.com	DP12	unconfirmed	False
onlinegamesracing.com	DP13	unconfirmed	False
onlinegamesracing.com	DP14	unconfirmed	False
onlinegamesracing.com	DP15	unconfirmed	False
selcoop.ru	no cookie dialog	True	True
customerservicesolutions.us	no cookie dialog	True	True
viirfv.com	no cookie dialog	True	True
immig-us.com	no cookie dialog	True	True
congreso.es	DP1	True	True
congreso.es	DP2	False	False
congreso.es	DP3	False	False
congreso.es	DP4	True	True
congreso.es	DP5	False	False
congreso.es	DP6	False	False
congreso.es	DP7	False	False
congreso.es	DP8	False	False
congreso.es	time to reject cookies manually	13.4919525000005	13.4919525000005
congreso.es	number of clicks to reject cookies	2	2
congreso.es	DP10	unconfirmed	True
congreso.es	DP12	unconfirmed	False
congreso.es	DP13	unconfirmed	False
congreso.es	DP14	unconfirmed	False
congreso.es	DP15	unconfirmed	False
cosyclub.co.uk	no cookie dialog	True	True
badeparadies-schwarzwald.de	DP1	False	False
badeparadies-schwarzwald.de	DP2	False	False
badeparadies-schwarzwald.de	DP3	False	False
badeparadies-schwarzwald.de	DP4	True	True
badeparadies-schwarzwald.de	DP5	False	False
badeparadies-schwarzwald.de	DP6	False	False
badeparadies-schwarzwald.de	DP7	False	False
badeparadies-schwarzwald.de	DP8	False	False
badeparadies-schwarzwald.de	time to reject cookies manually	5.95235739999953	5.95235739999953
badeparadies-schwarzwald.de	number of clicks to reject cookies	1	1
badeparadies-schwarzwald.de	DP10	unconfirmed	False
badeparadies-schwarzwald.de	DP12	unconfirmed	False
badeparadies-schwarzwald.de	DP13	unconfirmed	False
badeparadies-schwarzwald.de	DP14	unconfirmed	False
badeparadies-schwarzwald.de	DP15	unconfirmed	False
rockvilleaudio.com	no cookie dialog	True	True
eyeofthepsychic.com	no cookie dialog	True	True
reflector.com	no cookie dialog	True	True
mobogift.com	no cookie dialog	True	True
zgjtb.com	no cookie dialog	True	True
naija247news.com	no cookie dialog	True	True
danzig-verotik.com	no cookie dialog	True	True
nhk-ed.co.jp	no cookie dialog	True	True
navicamls.net	no cookie dialog	True	True
symmetry.fi	no cookie dialog	True	True
free-spider-solitaire.net	no cookie dialog	True	True
moboiran.com	no cookie dialog	True	True
schnell-viel-abnehmen-de.eu	no cookie dialog	True	True
pizzeriagelosa.com	no cookie dialog	True	True
acteol.com	DP1	True	True
acteol.com	DP2	False	False
acteol.com	DP3	False	False
acteol.com	DP4	False	False
acteol.com	DP5	False	False
acteol.com	DP6	False	False
acteol.com	DP7	False	False
acteol.com	DP8	False	False
acteol.com	time to reject cookies manually	3.51510939999935	3.51510939999935
acteol.com	number of clicks to reject cookies	0	0
acteol.com	DP10	unconfirmed	True
acteol.com	DP12	unconfirmed	False
acteol.com	DP13	unconfirmed	False
acteol.com	DP14	unconfirmed	False
acteol.com	DP15	unconfirmed	False
louloumagazine.com	no cookie dialog	True	True
beautyandfashiontech.com	no cookie dialog	True	True
millbrook.co.uk	DP1	False	False
millbrook.co.uk	DP2	False	False
millbrook.co.uk	DP3	False	False
millbrook.co.uk	DP4	True	True
millbrook.co.uk	DP5	True	True
millbrook.co.uk	DP6	True	True
millbrook.co.uk	DP7	False	False
millbrook.co.uk	DP8	False	False
millbrook.co.uk	time to reject cookies manually	8.58657630000016	8.58657630000016
millbrook.co.uk	number of clicks to reject cookies	1	1
millbrook.co.uk	DP10	unconfirmed	False
millbrook.co.uk	DP12	unconfirmed	False
millbrook.co.uk	DP13	unconfirmed	False
millbrook.co.uk	DP14	unconfirmed	False
millbrook.co.uk	DP15	unconfirmed	False
jtechdigital.com	DP1	True	True
jtechdigital.com	DP2	False	False
jtechdigital.com	DP3	False	False
jtechdigital.com	DP4	False	False
jtechdigital.com	DP5	False	False
jtechdigital.com	DP6	False	False
jtechdigital.com	DP7	False	False
jtechdigital.com	DP8	False	False
jtechdigital.com	time to reject cookies manually	3.64557000000059	3.64557000000059
jtechdigital.com	number of clicks to reject cookies	0	0
jtechdigital.com	DP10	unconfirmed	True
jtechdigital.com	DP12	unconfirmed	False
jtechdigital.com	DP13	unconfirmed	False
jtechdigital.com	DP14	unconfirmed	False
jtechdigital.com	DP15	unconfirmed	False
aasarchitecture.com	no cookie dialog	True	True
hermagroup.com	no cookie dialog	True	True
adnet.cash	no cookie dialog	True	True
camaratenerife.com	DP1	True	True
camaratenerife.com	DP2	False	False
camaratenerife.com	DP3	False	False
camaratenerife.com	DP4	False	False
camaratenerife.com	DP5	False	False
camaratenerife.com	DP6	False	False
camaratenerife.com	DP7	False	False
camaratenerife.com	DP8	False	False
camaratenerife.com	time to reject cookies manually	3.39028929999949	3.39028929999949
camaratenerife.com	number of clicks to reject cookies	0	0
camaratenerife.com	DP10	unconfirmed	True
camaratenerife.com	DP12	unconfirmed	False
camaratenerife.com	DP13	unconfirmed	False
camaratenerife.com	DP14	unconfirmed	False
camaratenerife.com	DP15	unconfirmed	False
gridiron-uniforms.com	DP1	False	False
gridiron-uniforms.com	DP2	False	False
gridiron-uniforms.com	DP3	False	False
gridiron-uniforms.com	DP4	True	True
gridiron-uniforms.com	DP5	True	True
gridiron-uniforms.com	DP6	False	False
gridiron-uniforms.com	DP7	False	False
gridiron-uniforms.com	DP8	False	False
gridiron-uniforms.com	time to reject cookies manually	8.51292739999917	8.51292739999917
gridiron-uniforms.com	number of clicks to reject cookies	2	2
gridiron-uniforms.com	DP10	unconfirmed	True
gridiron-uniforms.com	DP12	unconfirmed	False
gridiron-uniforms.com	DP13	unconfirmed	False
gridiron-uniforms.com	DP14	unconfirmed	False
gridiron-uniforms.com	DP15	unconfirmed	False
nnzljx.com	no cookie dialog	True	True
hbio.de	no cookie dialog	True	True
websyndic.com	no cookie dialog	True	True
adultsdirectory.info	no cookie dialog	True	True
pik-potsdam.de	no cookie dialog	True	True
captive.com	no cookie dialog	True	True
boerenbond.nl	DP1	True	True
boerenbond.nl	DP2	False	False
boerenbond.nl	DP3	False	False
boerenbond.nl	DP4	True	True
boerenbond.nl	DP5	False	False
boerenbond.nl	DP6	False	False
boerenbond.nl	DP7	False	False
boerenbond.nl	DP8	False	False
boerenbond.nl	time to reject cookies manually	1.22830950000025	1.22830950000025
boerenbond.nl	number of clicks to reject cookies	0	0
boerenbond.nl	DP10	unconfirmed	True
boerenbond.nl	DP12	unconfirmed	False
boerenbond.nl	DP13	unconfirmed	False
boerenbond.nl	DP14	unconfirmed	False
boerenbond.nl	DP15	unconfirmed	False
broforcegame.com	no cookie dialog	True	True
kabsis.com.tr	DP1	True	True
kabsis.com.tr	DP2	False	False
kabsis.com.tr	DP3	False	False
kabsis.com.tr	DP4	False	False
kabsis.com.tr	DP5	False	False
kabsis.com.tr	DP6	False	False
kabsis.com.tr	DP7	True	True
kabsis.com.tr	DP8	False	False
kabsis.com.tr	time to reject cookies manually	2.10334729999886	2.10334729999886
kabsis.com.tr	number of clicks to reject cookies	0	0
kabsis.com.tr	DP10	unconfirmed	True
kabsis.com.tr	DP12	unconfirmed	False
kabsis.com.tr	DP13	unconfirmed	False
kabsis.com.tr	DP14	unconfirmed	False
kabsis.com.tr	DP15	unconfirmed	False
weproject.media	no cookie dialog	True	True
livebaltimore.com	no cookie dialog	True	True
documentarystorm.com	no cookie dialog	True	True
bee-keepingequipment.com	no cookie dialog	True	True
gardo.de	no cookie dialog	True	True
ruby.or.jp	no cookie dialog	True	True
taiyakinyc.com	no cookie dialog	True	True
esdlc6.us	no cookie dialog	True	True
tomsshoesuk.org.uk	no cookie dialog	True	True
castlefest.nl	DP1	False	False
castlefest.nl	DP2	True	True
castlefest.nl	DP3	False	False
castlefest.nl	DP4	False	False
castlefest.nl	DP5	False	False
castlefest.nl	DP6	False	False
castlefest.nl	DP7	False	False
castlefest.nl	DP8	False	False
castlefest.nl	time to reject cookies manually	9.37988200000109	9.37988200000109
castlefest.nl	number of clicks to reject cookies	2	2
castlefest.nl	DP10	unconfirmed	True
castlefest.nl	DP12	unconfirmed	False
castlefest.nl	DP13	unconfirmed	False
castlefest.nl	DP14	unconfirmed	False
castlefest.nl	DP15	unconfirmed	True
joyoushealth.com	no cookie dialog	True	True
abstrusegoose.com	no cookie dialog	True	True
torrenttip19.com	no cookie dialog	True	True
longchamp-handbag.us	DP1	False	False
longchamp-handbag.us	DP2	False	False
longchamp-handbag.us	DP3	False	False
longchamp-handbag.us	DP4	True	True
longchamp-handbag.us	DP5	False	False
longchamp-handbag.us	DP6	False	False
longchamp-handbag.us	DP7	False	False
longchamp-handbag.us	DP8	False	False
longchamp-handbag.us	time to reject cookies manually	4.27978170000097	4.27978170000097
longchamp-handbag.us	number of clicks to reject cookies	0	0
longchamp-handbag.us	DP10	unconfirmed	False
longchamp-handbag.us	DP12	unconfirmed	False
longchamp-handbag.us	DP13	unconfirmed	False
longchamp-handbag.us	DP14	unconfirmed	False
longchamp-handbag.us	DP15	unconfirmed	False
modxcloud.com	DP1	False	False
modxcloud.com	DP2	False	False
modxcloud.com	DP3	False	False
modxcloud.com	DP4	False	False
modxcloud.com	DP5	False	False
modxcloud.com	DP6	False	False
modxcloud.com	DP7	False	False
modxcloud.com	DP8	False	False
modxcloud.com	time to reject cookies manually	3.8552148000017	3.8552148000017
modxcloud.com	number of clicks to reject cookies	1	1
modxcloud.com	DP10	unconfirmed	False
modxcloud.com	DP12	unconfirmed	False
modxcloud.com	DP13	unconfirmed	False
modxcloud.com	DP14	unconfirmed	False
modxcloud.com	DP15	unconfirmed	False
saysuncle.com	no cookie dialog	True	True
truepark1.com	no cookie dialog	True	True
mytasker.com	no cookie dialog	True	True
jabber.org	no cookie dialog	True	True
digmo.com	DP1	False	False
digmo.com	DP2	True	True
digmo.com	DP3	False	False
digmo.com	DP4	True	True
digmo.com	DP5	True	True
digmo.com	DP6	True	True
digmo.com	DP7	True	False
digmo.com	DP8	False	False
digmo.com	time to reject cookies manually	7.59476150000046	7.59476150000046
digmo.com	number of clicks to reject cookies	2	2
digmo.com	DP10	unconfirmed	True
digmo.com	DP12	unconfirmed	False
digmo.com	DP13	unconfirmed	False
digmo.com	DP14	unconfirmed	False
digmo.com	DP15	unconfirmed	False
chinapp.com	no cookie dialog	True	True
acheapcanadagooseoutlet.com	no cookie dialog	True	True
invasive.org	no cookie dialog	True	True
louis-vuitton-handbags.org.uk	no cookie dialog	True	True
cloud.edu.tw	no cookie dialog	True	True
carpenteriapasqualin.it	no cookie dialog	True	True
aerostone.ru	no cookie dialog	True	True
darzarzis.com	no cookie dialog	True	True
digixml.com	no cookie dialog	True	True
autowrap.info	no cookie dialog	True	True
reporter-studio.ru	no cookie dialog	True	True
mainstreethost.com	DP1	True	True
mainstreethost.com	DP2	False	False
mainstreethost.com	DP3	False	False
mainstreethost.com	DP4	False	False
mainstreethost.com	DP5	False	False
mainstreethost.com	DP6	False	False
mainstreethost.com	DP7	False	False
mainstreethost.com	DP8	False	False
mainstreethost.com	time to reject cookies manually	1.97289769999952	1.97289769999952
mainstreethost.com	number of clicks to reject cookies	0	0
mainstreethost.com	DP10	unconfirmed	True
mainstreethost.com	DP12	unconfirmed	False
mainstreethost.com	DP13	unconfirmed	False
mainstreethost.com	DP14	unconfirmed	False
mainstreethost.com	DP15	unconfirmed	False
nkpedu1.org	no cookie dialog	True	True
dpamicrophones.com	DP1	True	True
dpamicrophones.com	DP2	False	False
dpamicrophones.com	DP3	False	False
dpamicrophones.com	DP4	False	False
dpamicrophones.com	DP5	False	False
dpamicrophones.com	DP6	False	False
dpamicrophones.com	DP7	False	False
dpamicrophones.com	DP8	False	False
dpamicrophones.com	time to reject cookies manually	2.77581190000092	2.77581190000092
dpamicrophones.com	number of clicks to reject cookies	0	0
dpamicrophones.com	DP10	unconfirmed	True
dpamicrophones.com	DP12	unconfirmed	False
dpamicrophones.com	DP13	unconfirmed	False
dpamicrophones.com	DP14	unconfirmed	False
dpamicrophones.com	DP15	unconfirmed	False
urbanista.de	no cookie dialog	True	True
pokergo.com	DP1	True	True
pokergo.com	DP2	False	False
pokergo.com	DP3	False	False
pokergo.com	DP4	False	False
pokergo.com	DP5	False	False
pokergo.com	DP6	False	False
pokergo.com	DP7	False	False
pokergo.com	DP8	False	False
pokergo.com	time to reject cookies manually	1.61455340000066	1.61455340000066
pokergo.com	number of clicks to reject cookies	0	0
pokergo.com	DP10	unconfirmed	True
pokergo.com	DP12	unconfirmed	False
pokergo.com	DP13	unconfirmed	False
pokergo.com	DP14	unconfirmed	False
pokergo.com	DP15	unconfirmed	False
freshebt.com	no cookie dialog	True	True
capitalstars.com	no cookie dialog	True	True
accu.co.uk	no cookie dialog	True	True
ceracare.us	no cookie dialog	True	True
laurens.nl	no cookie dialog	True	True
epona-gmbh.de	DP1	False	False
epona-gmbh.de	DP2	False	False
epona-gmbh.de	DP3	False	False
epona-gmbh.de	DP4	False	False
epona-gmbh.de	DP5	False	False
epona-gmbh.de	DP6	False	False
epona-gmbh.de	DP7	False	False
epona-gmbh.de	DP8	False	False
epona-gmbh.de	time to reject cookies manually	3.91015069999958	3.91015069999958
epona-gmbh.de	number of clicks to reject cookies	1	1
epona-gmbh.de	DP10	unconfirmed	False
epona-gmbh.de	DP12	unconfirmed	False
epona-gmbh.de	DP13	unconfirmed	False
epona-gmbh.de	DP14	unconfirmed	False
epona-gmbh.de	DP15	unconfirmed	False
nichibei.org	no cookie dialog	True	True
greenerubber.info	no cookie dialog	True	True
ipade.mx	no cookie dialog	True	True
student-charity.com	no cookie dialog	True	True
metaatem.net	no cookie dialog	True	True
kitchenanddesignstudio.com	no cookie dialog	True	True
ambi.cz	no cookie dialog	True	True
itysp.com	DP1	False	False
itysp.com	DP2	False	False
itysp.com	DP3	False	False
itysp.com	DP4	True	True
itysp.com	DP5	False	False
itysp.com	DP6	False	False
itysp.com	DP7	False	False
itysp.com	DP8	False	False
itysp.com	time to reject cookies manually	1.09210660000099	1.09210660000099
itysp.com	number of clicks to reject cookies	0	0
itysp.com	DP10	unconfirmed	True
itysp.com	DP12	unconfirmed	False
itysp.com	DP13	unconfirmed	False
itysp.com	DP14	unconfirmed	False
itysp.com	DP15	unconfirmed	False
matsuyamajo.jp	no cookie dialog	True	True
alipartners.ru	no cookie dialog	True	True
familybelle.com	no cookie dialog	True	True
yesdelft.com	no cookie dialog	True	True
book-onlinenow.net	no cookie dialog	True	True
enea.pl	DP1	False	False
enea.pl	DP2	False	False
enea.pl	DP3	False	False
enea.pl	DP4	False	False
enea.pl	DP5	False	False
enea.pl	DP6	True	True
enea.pl	DP7	False	False
enea.pl	DP8	False	False
enea.pl	time to reject cookies manually	6.17283490000045	6.17283490000045
enea.pl	number of clicks to reject cookies	0	0
enea.pl	DP10	unconfirmed	True
enea.pl	DP12	unconfirmed	False
enea.pl	DP13	unconfirmed	False
enea.pl	DP14	unconfirmed	False
enea.pl	DP15	unconfirmed	False
epsom-sthelier.nhs.uk	DP1	True	True
epsom-sthelier.nhs.uk	DP2	False	False
epsom-sthelier.nhs.uk	DP3	False	False
epsom-sthelier.nhs.uk	DP4	False	False
epsom-sthelier.nhs.uk	DP5	False	False
epsom-sthelier.nhs.uk	DP6	False	False
epsom-sthelier.nhs.uk	DP7	False	False
epsom-sthelier.nhs.uk	DP8	False	False
epsom-sthelier.nhs.uk	time to reject cookies manually	9.02478100000008	9.02478100000008
epsom-sthelier.nhs.uk	number of clicks to reject cookies	0	0
epsom-sthelier.nhs.uk	DP10	unconfirmed	True
epsom-sthelier.nhs.uk	DP12	unconfirmed	False
epsom-sthelier.nhs.uk	DP13	unconfirmed	False
epsom-sthelier.nhs.uk	DP14	unconfirmed	False
epsom-sthelier.nhs.uk	DP15	unconfirmed	False
disability-benefits-help.org	no cookie dialog	True	True
unothegateway.com	no cookie dialog	True	True
mbacklinks.com	no cookie dialog	True	True
telepase.com.ar	no cookie dialog	True	True
hardwareinfo.cn	no cookie dialog	True	True
tutogenial.com	no cookie dialog	True	True
eeca.de	no cookie dialog	True	True
websearch101.com	DP1	False	False
websearch101.com	DP2	False	False
websearch101.com	DP3	False	False
websearch101.com	DP4	False	False
websearch101.com	DP5	True	True
websearch101.com	DP6	False	False
websearch101.com	DP7	False	False
websearch101.com	DP8	False	False
websearch101.com	time to reject cookies manually	18.7431117999986	18.7431117999986
websearch101.com	number of clicks to reject cookies	2	2
websearch101.com	DP10	unconfirmed	True
websearch101.com	DP12	unconfirmed	False
websearch101.com	DP13	unconfirmed	False
websearch101.com	DP14	unconfirmed	False
websearch101.com	DP15	unconfirmed	False
dipity.com	no cookie dialog	True	True
pcu.ac.kr	no cookie dialog	True	True
kreis-pinneberg.de	no cookie dialog	True	True
fill.io	no cookie dialog	True	True
deconovo.com	no cookie dialog	True	True
martinkloud.cz	no cookie dialog	True	True
sohtanaka.com	no cookie dialog	True	True
nashgorodidom.ru	no cookie dialog	True	True
dolphins-pearl-play.com	no cookie dialog	True	True
yhoyquecomemos.com	DP1	False	False
yhoyquecomemos.com	DP2	False	False
yhoyquecomemos.com	DP3	False	False
yhoyquecomemos.com	DP4	True	True
yhoyquecomemos.com	DP5	False	False
yhoyquecomemos.com	DP6	False	False
yhoyquecomemos.com	DP7	False	False
yhoyquecomemos.com	DP8	False	False
yhoyquecomemos.com	time to reject cookies manually	9.5634816999991	9.5634816999991
yhoyquecomemos.com	number of clicks to reject cookies	3	3
yhoyquecomemos.com	DP10	unconfirmed	True
yhoyquecomemos.com	DP12	unconfirmed	False
yhoyquecomemos.com	DP13	unconfirmed	False
yhoyquecomemos.com	DP14	unconfirmed	False
yhoyquecomemos.com	DP15	unconfirmed	False
szrd.gov.cn	no cookie dialog	True	True
irantadbir.com	no cookie dialog	True	True
cpaac.fr	no cookie dialog	True	True
glutendude.com	no cookie dialog	True	True
gatematic.com	no cookie dialog	True	True
yeezy-shoes.ca	no cookie dialog	True	True
eyevio.jp	no cookie dialog	True	True
ravennanotizie.it	DP1	False	False
ravennanotizie.it	DP2	False	False
ravennanotizie.it	DP3	False	False
ravennanotizie.it	DP4	True	True
ravennanotizie.it	DP5	False	False
ravennanotizie.it	DP6	False	False
ravennanotizie.it	DP7	False	False
ravennanotizie.it	DP8	False	False
ravennanotizie.it	time to reject cookies manually	0.81325139999899	0.81325139999899
ravennanotizie.it	number of clicks to reject cookies	0	0
ravennanotizie.it	DP10	unconfirmed	True
ravennanotizie.it	DP12	unconfirmed	False
ravennanotizie.it	DP13	unconfirmed	False
ravennanotizie.it	DP14	unconfirmed	False
ravennanotizie.it	DP15	unconfirmed	False
diveintocode.jp	no cookie dialog	True	True
bbva.com	DP1	False	False
bbva.com	DP2	True	True
bbva.com	DP3	True	True
bbva.com	DP4	False	False
bbva.com	DP5	True	True
bbva.com	DP6	False	False
bbva.com	DP7	False	False
bbva.com	DP8	False	False
bbva.com	time to reject cookies manually	6.73199169999862	6.73199169999862
bbva.com	number of clicks to reject cookies	2	2
bbva.com	DP10	unconfirmed	True
bbva.com	DP12	unconfirmed	False
bbva.com	DP13	unconfirmed	False
bbva.com	DP14	unconfirmed	False
bbva.com	DP15	unconfirmed	False
j.gs	DP1	False	False
j.gs	DP2	False	False
j.gs	DP3	False	False
j.gs	DP4	False	False
j.gs	DP5	False	False
j.gs	DP6	False	False
j.gs	DP7	False	False
j.gs	DP8	False	False
j.gs	time to reject cookies manually	0.831074000001536	0.831074000001536
j.gs	number of clicks to reject cookies	0	0
j.gs	DP10	unconfirmed	True
j.gs	DP12	unconfirmed	False
j.gs	DP13	unconfirmed	False
j.gs	DP14	unconfirmed	False
j.gs	DP15	unconfirmed	False
rockywoods.com	no cookie dialog	True	True
ica.net	no cookie dialog	True	True
stariptv.pk	no cookie dialog	True	True
99cankao.com	no cookie dialog	True	True
grupsosyal.com	no cookie dialog	True	True
bizarro.com	DP1	True	True
bizarro.com	DP2	False	False
bizarro.com	DP3	False	False
bizarro.com	DP4	False	False
bizarro.com	DP5	False	False
bizarro.com	DP6	False	False
bizarro.com	DP7	False	False
bizarro.com	DP8	False	False
bizarro.com	time to reject cookies manually	2.13703810000152	2.13703810000152
bizarro.com	number of clicks to reject cookies	0	0
bizarro.com	DP10	unconfirmed	True
bizarro.com	DP12	unconfirmed	False
bizarro.com	DP13	unconfirmed	False
bizarro.com	DP14	unconfirmed	False
bizarro.com	DP15	unconfirmed	False
underworldly.com	no cookie dialog	True	True
mt4proxy.com	DP1	True	True
mt4proxy.com	DP2	False	False
mt4proxy.com	DP3	False	False
mt4proxy.com	DP4	False	False
mt4proxy.com	DP5	False	False
mt4proxy.com	DP6	False	False
mt4proxy.com	DP7	False	False
mt4proxy.com	DP8	False	False
mt4proxy.com	time to reject cookies manually	2.34941659999822	2.34941659999822
mt4proxy.com	number of clicks to reject cookies	0	0
mt4proxy.com	DP10	unconfirmed	True
mt4proxy.com	DP12	unconfirmed	False
mt4proxy.com	DP13	unconfirmed	False
mt4proxy.com	DP14	unconfirmed	False
mt4proxy.com	DP15	unconfirmed	False
daryasport.com	no cookie dialog	True	True
jullbet.com	no cookie dialog	True	True
factslides.com	no cookie dialog	True	True
greenmountaincoffee.com	no cookie dialog	True	True
pbverify.com	no cookie dialog	True	True
read2read.net	no cookie dialog	True	True
westernpower.com.au	no cookie dialog	True	True
badmintoncn.com	no cookie dialog	True	True
kenon.com.cn	no cookie dialog	True	True
alcogol.su	no cookie dialog	True	True
icef.com	DP1	False	False
icef.com	DP2	True	True
icef.com	DP3	False	False
icef.com	DP4	False	False
icef.com	DP5	True	True
icef.com	DP6	False	False
icef.com	DP7	False	False
icef.com	DP8	False	False
icef.com	time to reject cookies manually	23.5010331000012	23.5010331000012
icef.com	number of clicks to reject cookies	7	7
icef.com	DP10	unconfirmed	True
icef.com	DP12	unconfirmed	False
icef.com	DP13	unconfirmed	False
icef.com	DP14	unconfirmed	False
icef.com	DP15	unconfirmed	False
uponor.fi	no cookie dialog	True	True
cinemasie.com	no cookie dialog	True	True
rynek-lotniczy.pl	DP1	False	False
rynek-lotniczy.pl	DP2	True	True
rynek-lotniczy.pl	DP3	True	True
rynek-lotniczy.pl	DP4	True	True
rynek-lotniczy.pl	DP5	True	True
rynek-lotniczy.pl	DP6	False	False
rynek-lotniczy.pl	DP7	False	False
rynek-lotniczy.pl	DP8	False	False
rynek-lotniczy.pl	time to reject cookies manually	15.9397188000003	15.9397188000003
rynek-lotniczy.pl	number of clicks to reject cookies	11	11
rynek-lotniczy.pl	DP10	unconfirmed	True
rynek-lotniczy.pl	DP12	unconfirmed	False
rynek-lotniczy.pl	DP13	unconfirmed	False
rynek-lotniczy.pl	DP14	unconfirmed	False
rynek-lotniczy.pl	DP15	unconfirmed	False
wshein.com	no cookie dialog	True	True
kentfaith.com	no cookie dialog	True	True
uylab.org	no cookie dialog	True	True
romefloyd.com	no cookie dialog	True	True
duffmart.com	DP1	True	True
duffmart.com	DP2	False	False
duffmart.com	DP3	False	False
duffmart.com	DP4	True	True
duffmart.com	DP5	False	False
duffmart.com	DP6	False	False
duffmart.com	DP7	False	False
duffmart.com	DP8	False	False
duffmart.com	time to reject cookies manually	13.8372549999986	13.8372549999986
duffmart.com	number of clicks to reject cookies	3	3
duffmart.com	DP10	unconfirmed	True
duffmart.com	DP12	unconfirmed	False
duffmart.com	DP13	unconfirmed	False
duffmart.com	DP14	unconfirmed	False
duffmart.com	DP15	unconfirmed	False
bottlekeeper.com	no cookie dialog	True	True
oxyhealth.com	no cookie dialog	True	True
smooththemes.com	no cookie dialog	True	True
goniyo.com	no cookie dialog	True	True
aduna.com	DP1	True	True
aduna.com	DP2	False	False
aduna.com	DP3	False	False
aduna.com	DP4	False	False
aduna.com	DP5	False	False
aduna.com	DP6	False	False
aduna.com	DP7	False	False
aduna.com	DP8	False	False
aduna.com	time to reject cookies manually	5.22456120000061	5.22456120000061
aduna.com	number of clicks to reject cookies	0	0
aduna.com	DP10	unconfirmed	True
aduna.com	DP12	unconfirmed	False
aduna.com	DP13	unconfirmed	False
aduna.com	DP14	unconfirmed	False
aduna.com	DP15	unconfirmed	False
lealestransportes.com.br	no cookie dialog	True	True
laprogressive.com	no cookie dialog	True	True
fohguild.org	DP1	False	False
fohguild.org	DP2	False	False
fohguild.org	DP3	False	False
fohguild.org	DP4	False	False
fohguild.org	DP5	False	False
fohguild.org	DP6	False	False
fohguild.org	DP7	True	True
fohguild.org	DP8	False	False
fohguild.org	time to reject cookies manually	0.70904420000079	0.70904420000079
fohguild.org	number of clicks to reject cookies	0	0
fohguild.org	DP10	unconfirmed	True
fohguild.org	DP12	unconfirmed	False
fohguild.org	DP13	unconfirmed	False
fohguild.org	DP14	unconfirmed	False
fohguild.org	DP15	unconfirmed	False
jofem.org	DP1	True	True
jofem.org	DP2	False	False
jofem.org	DP3	False	False
jofem.org	DP4	False	False
jofem.org	DP5	False	False
jofem.org	DP6	False	False
jofem.org	DP7	False	False
jofem.org	DP8	False	False
jofem.org	time to reject cookies manually	0.922155699998257	0.922155699998257
jofem.org	number of clicks to reject cookies	0	0
jofem.org	DP10	unconfirmed	True
